"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-SENSING-PRE-007: /sensing/visualization/radar_visualization_node","3986","test_07_radar_visualization_node_running","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running","",""
"TC-SENSING-PRE-006: /sensing/ublox1/ublox_driver_node","3589","test_06_ublox_driver_node_running","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running","",""
"","3930","test_node_running[auto_cleaning_node-TC-SENSING-PRE-001-/sensing/auto_cleaning]","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running_01","",""
"TC-SENSING-PRE-004: /sensing/odometry_velocity_node","3484","test_04_odometry_velocity_node_running","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running","",""
"TC-SENSING-PRE-005: /sensing/radar_driver_node","3610","test_05_radar_driver_node_running","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running","",""
"TC-SENSING-PRE-002: /sensing/imu1/imu_node","3765","test_02_imu_node_running","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running","",""
"TC-FAULT-SENSING-001-PRE: /sensing/auto_cleaning жива","3644","test_01_auto_cleaning_running","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running","",""
"TC-SENSING-PRE-003: /sensing/odometry_node","3455","test_03_odometry_node_running","tests.fault_injection","2026-05-19","passed","2026-05-19","TestSensingNodesRunning","test_sensing_nodes_running","",""
